,fid,name,kcal
224,07013004,깻잎전,361
225,07013005,녹두빈대떡,208
226,07013006,미나리전,226
227,07013007,배추전,170
228,07013008,버섯전,137
229,07013009,부추전,262
230,07013010,야채전,148
231,07013011,파전,293
232,07013012,호박부침개,190
233,07013013,호박전,269
234,07014001,달걀말이,112
235,07014002,두부부침,94
236,07014003,두부전,242
237,08011001,건새우볶음,107
238,08011002,낙지볶음,187
239,08011003,멸치볶음,10
240,08011004,어묵볶음,125
241,08011005,오징어볶음,177
242,08011006,오징어채볶음,122
243,08011007,주꾸미볶음,578
244,08011008,해물볶음,65
245,08012001,감자볶음,116
246,08012002,김치볶음,33
247,08012003,깻잎나물볶음,70
248,08012004,느타리버섯볶음,91
249,08012005,두부김치,301
250,08012006,머위나물볶음,65
251,08012007,양송이버섯볶음,98
252,08012008,표고버섯볶음,106
253,08012009,고추잡채,270
254,08012010,호박볶음,63
255,08013001,돼지고기볶음,320
256,08013002,돼지껍데기볶음,234
257,08013003,소세지볶음,127
258,08013004,순대볶음,240
259,08013005,오리불고기,140
260,08013006,오삼불고기,457
261,08014001,떡볶이,303
262,08014002,라볶이,417
263,08014003,마파두부,290
264,09011001,가자미조림,129
265,09011002,갈치조림,97
266,09011003,고등어조림,214
267,09011004,꽁치조림,85
268,09011005,동태조림,82
269,09011006,북어조림,182
270,09011007,조기조림,204
271,09011008,코다리조림,219
272,09012001,달걀장조림,89
273,09012002,메추리알장조림,89
274,09013001,돼지고기메추리알장조림,63
275,09013002,소고기메추리알장조림,61
276,09014001,고추조림,21
277,09014002,감자조림,44
278,09014003,우엉조림,232
279,09014004,알감자조림,107
280,09015001,(검은)콩조림,54
281,09015002,콩조림,54
282,09015003,두부고추장조림,163
283,09016001,땅콩조림,81
284,10011001,미꾸라지튀김,387
285,10011002,새우튀김,49
286,10011003,생선가스,326
287,10011004,쥐포튀김,153
288,10011005,오징어튀김,118
289,10012001,닭강정,310
290,10012002,닭튀김,249
291,10012003,돈가스,568
292,10012004,모래집튀김,194
293,10012005,양념치킨,323
294,10012006,치즈돈가스,721
295,10012007,치킨가스,569
296,10012008,탕수육,228
297,10012009,깐풍기,616
298,10014001,감자튀김,192
299,10014002,고구마맛탕,245
300,10014003,고구마튀김,204
301,10014004,고추튀김,219
302,10014005,김말이튀김,62
303,10014006,채소튀김,107
304,11011001,노각무침,56
305,11011002,단무지무침,24
306,11011003,달래나물무침,68
307,11011004,더덕무침,37
308,11011005,도라지생채,50
309,11011006,도토리묵,44
310,11011007,마늘쫑무침,132
311,11011008,무생채,32
312,11011009,무말랭이,41
313,11011010,오이생채,30
314,11011011,파무침,38
315,11012001,상추겉절이,24
316,11012002,쑥갓나물무침,40
317,11012003,청포묵무침,58
318,11012004,해파리냉채,133
319,11013001,가지나물,30
320,11013002,고사리나물,50
321,11013003,도라지나물,73
322,11013004,무나물,50
323,11013005,미나리나물,31
324,11013006,숙주나물,12
325,11013007,시금치나물,57
326,11013009,취나물,31
327,11013010,콩나물,29
328,11013011,고구마줄기나물,11
329,11013012,우거지나물무침,40
330,11014001,골뱅이무침,109
331,11014002,김무침,12
332,11014003,미역초무침,33
333,11014004,북어채무침,99
334,11014005,회무침,199
335,11014006,쥐치채,95
336,11014007,파래무침,29
337,11014008,홍어무침,199
338,11014009,골뱅이국수무침,293
339,11014010,오징어무침,254
340,11015001,잡채,258
341,11015002,탕평채,90
342,12011001,갓김치,29
343,12011002,고들빼기,40
344,12011003,깍두기,14
345,12011004,깻잎김치,32
346,12011005,나박김치,12
347,12011006,동치미,18
348,12011007,배추겉절이,37
349,12011008,배추김치,25
350,12011009,백김치,22
351,12011010,부추김치,26
352,12011011,열무김치,12
353,12011012,열무얼갈이김치,18
354,12011013,오이소박이,18
355,12011014,총각김치,11
356,12011015,파김치,18
357,13011001,간장게장,251
358,13011002,마늘쫑장아찌,25
359,13011003,고추장아찌,22
360,13011004,깻잎장아찌,24
361,13011005,마늘장아찌,17
362,13011006,무장아찌,23
363,13011007,양념게장,321
364,13011008,양파장아찌,40
365,13011009,오이지,2
366,13011010,무피클,22
367,13011011,오이피클,64
368,13011012,단무지,2
369,13012001,오징어젓갈,12
370,13012002,명란젓,13
371,14011001,생연어,164
372,14011002,생선물회,207
373,14011004,광어회,110
374,14011005,훈제연어,171
375,14012001,육회,230
376,14012002,육사시미,230
377,15011001,가래떡,238
378,15011002,경단,48
379,15011003,꿀떡,54
380,15011004,시루떡,217
381,15011005,메밀전병,305
382,15011006,찰떡,234
383,15011007,무지개떡,70
384,15011008,백설기,237
385,15011009,송편,40
386,15011010,수수부꾸미,84
387,15011011,수수팥떡,204
